geo,time,income_per_person_gdppercapita_ppp_inflation_adjusted
bra,2017,14525
bra,2018,14668
bra,2019,14764
bra,2020,14083
chn,1913,1145
chn,1914,1146
chn,1915,1148
chn,1916,1149
chn,1917,1150
chn,1918,1152
chn,1919,1153
chn,1920,1154
chn,1921,1155
chn,1922,1157
chn,1923,1158
chn,1924,1159
chn,1925,1161
chn,1926,1162
chn,1927,1163
chn,1928,1165
chn,1929,1166
chn,1930,1176
chn,1931,1180
chn,1932,1208
chn,1933,1073
chn,1934,1089
chn,1935,1171
chn,1936,1238
chn,1937,1202
chn,1938,1166
chn,1939,1144
chn,1940,1123
chn,1941,1102
chn,1942,1081
chn,1943,1061
chn,1944,1041
chn,1945,1021
chn,1946,1002
chn,1947,983
chn,1948,965
chn,1949,947
chn,1950,929
chn,1951,1104
chn,1952,1217
chn,1953,1345
chn,1954,1219
chn,1955,1301
chn,1956,1382
chn,1957,1389
chn,1958,1364
chn,1959,1298
chn,1960,1229
chn,1961,996
chn,1962,1034
chn,1963,1131
chn,1964,1234
chn,1965,1314
chn,1966,1293
chn,1967,1240
chn,1968,1154
chn,1969,1210
chn,1970,1306
chn,1971,1318
chn,1972,1271
chn,1973,1310
chn,1974,1280
chn,1975,1307
chn,1976,1211
chn,1977,1226
chn,1978,1311
chn,1979,1355
chn,1980,1362
chn,1981,1340
chn,1982,1405
chn,1983,1419
chn,1984,1502
chn,1985,1550
chn,1986,1563
chn,1987,1600
chn,1988,1593
chn,1989,1512
chn,1990,1424
chn,1991,1535
chn,1992,1732
chn,1993,1950
chn,1994,2179
chn,1995,2391
chn,1996,2601
chn,1997,2813
chn,1998,3004
chn,1999,3207
chn,2000,3452
chn,2001,3712
chn,2002,4024
chn,2003,4401
chn,2004,4817
chn,2005,5335
chn,2006,5980
chn,2007,6795
chn,2008,7413
chn,2009,8069
chn,2010,8885
chn,2011,9680
chn,2012,10371
chn,2013,11102
chn,2014,11851
chn,2015,12612
chn,2016,13399
chn,2017,14244
chn,2018,15134
chn,2019,15978
chn,2020,16313
deu,1913,6760
deu,1914,5668
deu,1915,5372
deu,1916,5438
deu,1917,5469
deu,1918,5527
deu,1919,4792
deu,1920,5181
deu,1921,5703
deu,1922,6173
deu,1923,5095
deu,1924,5927
deu,1925,6545
deu,1926,6679
deu,1927,7302
deu,1928,7578
deu,1929,7506
deu,1930,7362
deu,1931,6767
deu,1932,6230
deu,1933,6589
deu,1934,7149
deu,1935,7634
deu,1936,8248
deu,1937,8681
deu,1938,9253
deu,1939,10017
deu,1940,10011
deu,1941,10582
deu,1942,10635
deu,1943,10914
deu,1944,11273
deu,1945,8364
deu,1946,4108
deu,1947,4514
deu,1948,5251
deu,1949,6081
deu,1950,7191
deu,1951,7793
deu,1952,8436
deu,1953,9088
deu,1954,9723
deu,1955,10741
deu,1956,11445
deu,1957,12029
deu,1958,12484
deu,1959,13298
deu,1960,14277
deu,1961,14854
deu,1962,15482
deu,1963,15917
deu,1964,16877
deu,1965,17711
deu,1966,18242
deu,1967,18401
deu,1968,19463
deu,1969,20757
deu,1970,21713
deu,1971,22357
deu,1972,23345
deu,1973,24511
deu,1974,24890
deu,1975,25026
deu,1976,26553
deu,1977,27563
deu,1978,28572
deu,1979,29925
deu,1980,30395
deu,1981,30683
deu,1982,30659
deu,1983,31505
deu,1984,32725
deu,1985,33743
deu,1986,34708
deu,1987,35465
deu,1988,36746
deu,1989,37899
deu,1990,36699
deu,1991,38294
deu,1992,38735
deu,1993,38105
deu,1994,38882
deu,1995,39366
deu,1996,39569
deu,1997,40219
deu,1998,41023
deu,1999,41770
deu,2000,42928
deu,2001,43577
deu,2002,43417
deu,2003,43089
deu,2004,43605
deu,2005,43949
deu,2006,45678
deu,2007,47101
deu,2008,47643
deu,2009,45044
deu,2010,46999
deu,2011,49758
deu,2012,49872
deu,2013,49954
deu,2014,50846
deu,2015,51159
deu,2016,51880
deu,2017,53071
deu,2018,53487
deu,2019,53930
deu,2020,51428
ind,1913,1247
ind,1914,1314
ind,1915,1280
ind,1916,1316
ind,1917,1291
ind,1918,1125
ind,1919,1279
ind,1920,1176
ind,1921,1258
ind,1922,1298
ind,1923,1244
ind,1924,1291
ind,1925,1294
ind,1926,1322
ind,1927,1308
ind,1928,1308
ind,1929,1348
ind,1930,1345
ind,1931,1317
ind,1932,1314
ind,1933,1297
ind,1934,1291
ind,1935,1260
ind,1936,1291
ind,1937,1253
ind,1938,1238
ind,1939,1248
ind,1940,1271
ind,1941,1280
ind,1942,1258
ind,1943,1294
ind,1944,1266
ind,1945,1230
ind,1946,1152
ind,1947,1145
ind,1948,1143
ind,1949,1157
ind,1950,1147
ind,1951,1154
ind,1952,1166
ind,1953,1217
ind,1954,1245
ind,1955,1253
ind,1956,1298
ind,1957,1260
ind,1958,1326
ind,1959,1329
ind,1960,1395
ind,1961,1392
ind,1962,1381
ind,1963,1407
ind,1964,1470
ind,1965,1368
ind,1966,1341
ind,1967,1407
ind,1968,1399
ind,1969,1447
ind,1970,1473
ind,1971,1439
ind,1972,1389
ind,1973,1408
ind,1974,1378
ind,1975,1452
ind,1976,1425
ind,1977,1488
ind,1978,1519
ind,1979,1393
ind,1980,1445
ind,1981,1490
ind,1982,1487
ind,1983,1559
ind,1984,1567
ind,1985,1578
ind,1986,1593
ind,1987,1610
ind,1988,1722
ind,1989,1778
ind,1990,1813
ind,1991,1795
ind,1992,1856
ind,1993,1906
ind,1994,1994
ind,1995,2105
ind,1996,2221
ind,1997,2268
ind,1998,2364
ind,1999,2528
ind,2000,2579
ind,2001,2657
ind,2002,2712
ind,2003,2877
ind,2004,3055
ind,2005,3245
ind,2006,3453
ind,2007,3662
ind,2008,3720
ind,2009,3956
ind,2010,4235
ind,2011,4400
ind,2012,4583
ind,2013,4819
ind,2014,5117
ind,2015,5464
ind,2016,5851
ind,2017,6183
ind,2018,6519
ind,2019,6714
ind,2020,6221
jpn,1913,2825
jpn,1914,2741
jpn,1915,2920
jpn,1916,3289
jpn,1917,3418
jpn,1918,3457
jpn,1919,3742
jpn,1920,3457
jpn,1921,3771
jpn,1922,3771
jpn,1923,3770
jpn,1924,3855
jpn,1925,3969
jpn,1926,3904
jpn,1927,3891
jpn,1928,4131
jpn,1929,4260
jpn,1930,3876
jpn,1931,3860
jpn,1932,4103
jpn,1933,4402
jpn,1934,4366
jpn,1935,4447
jpn,1936,4633
jpn,1937,4737
jpn,1938,4948
jpn,1939,5584
jpn,1940,5676
jpn,1941,5796
jpn,1942,5741
jpn,1943,5610
jpn,1944,5598
jpn,1945,4275
jpn,1946,3222
jpn,1947,3151
jpn,1948,3321
jpn,1949,3332
jpn,1950,3559
jpn,1951,3940
jpn,1952,4329
jpn,1953,4585
jpn,1954,4785
jpn,1955,5135
jpn,1956,5462
jpn,1957,5811
jpn,1958,6095
jpn,1959,6585
jpn,1960,7386
jpn,1961,8186
jpn,1962,8819
jpn,1963,9453
jpn,1964,10428
jpn,1965,10897
jpn,1966,11925
jpn,1967,13086
jpn,1968,14580
jpn,1969,16178
jpn,1970,17677
jpn,1971,18238
jpn,1972,19463
jpn,1973,20694
jpn,1974,20134
jpn,1975,20455
jpn,1976,21003
jpn,1977,21674
jpn,1978,22568
jpn,1979,23562
jpn,1980,23991
jpn,1981,24528
jpn,1982,25059
jpn,1983,25419
jpn,1984,26198
jpn,1985,27136
jpn,1986,27701
jpn,1987,28658
jpn,1988,30248
jpn,1989,31523
jpn,1990,32946
jpn,1991,33938
jpn,1992,34099
jpn,1993,33813
jpn,1994,34054
jpn,1995,34868
jpn,1996,35879
jpn,1997,36145
jpn,1998,35589
jpn,1999,35405
jpn,2000,36323
jpn,2001,36376
jpn,2002,36306
jpn,2003,36785
jpn,2004,37576
jpn,2005,38251
jpn,2006,38751
jpn,2007,39281
jpn,2008,38781
jpn,2009,36578
jpn,2010,38070
jpn,2011,38150
jpn,2012,38736
jpn,2013,39570
jpn,2014,39740
jpn,2015,40403
jpn,2016,40754
jpn,2017,41505
jpn,2018,41822
jpn,2019,42022
jpn,2020,40251
kor,1913,1361
kor,1914,1458
kor,1915,1466
kor,1916,1529
kor,1917,1588
kor,1918,1659
kor,1919,1585
kor,1920,1661
kor,1921,1713
kor,1922,1736
kor,1923,1750
kor,1924,1653
kor,1925,1709
kor,1926,1778
kor,1927,1874
kor,1928,1735
kor,1929,1739
kor,1930,1903
kor,1931,1884
kor,1932,1884
kor,1933,1924
kor,1934,1945
kor,1935,2045
kor,1936,1968
kor,1937,2332
kor,1938,2249
kor,1939,1872
kor,1940,2296
kor,1941,2450
kor,1942,1913
kor,1943,1960
kor,1944,1599
kor,1945,1305
kor,1946,1065
kor,1947,1090
kor,1948,1277
kor,1949,1382
kor,1950,1160
kor,1951,1152
kor,1952,1207
kor,1953,1531
kor,1954,1596
kor,1955,1641
kor,1956,1606
kor,1957,1705
kor,1958,1764
kor,1959,1808
kor,1960,1799
kor,1961,1853
kor,1962,1857
kor,1963,1957
kor,1964,2072
kor,1965,2149
kor,1966,2329
kor,1967,2464
kor,1968,2705
kor,1969,3006
kor,1970,3210
kor,1971,3449
kor,1972,3599
kor,1973,4029
kor,1974,4300
kor,1975,4525
kor,1976,4997
kor,1977,5479
kor,1978,5929
kor,1979,6291
kor,1980,6038
kor,1981,6318
kor,1982,6678
kor,1983,7388
kor,1984,7990
kor,1985,8451
kor,1986,9225
kor,1987,10183
kor,1988,11184
kor,1989,11746
kor,1990,12656
kor,1991,13882
kor,1992,14591
kor,1993,15436
kor,1994,16698
kor,1995,18120
kor,1996,19365
kor,1997,20368
kor,1998,19184
kor,1999,21233
kor,2000,22964
kor,2001,23894
kor,2002,25591
kor,2003,26260
kor,2004,27516
kor,2005,28641
kor,2006,29991
kor,2007,31570
kor,2008,32275
kor,2009,32364
kor,2010,34394
kor,2011,35389
kor,2012,36049
kor,2013,37021
kor,2014,37967
kor,2015,38829
kor,2016,39815
kor,2017,40957
kor,2018,41966
kor,2019,42759
kor,2020,42336
usa,1913,11750
usa,1914,10574
usa,1915,10653
usa,1916,11883
usa,1917,11356
usa,1918,12172
usa,1919,12147
usa,1920,11802
usa,1921,11247
usa,1922,11636
usa,1923,12870
usa,1924,12934
usa,1925,12961
usa,1926,13540
usa,1927,13406
usa,1928,13311
usa,1929,13896
usa,1930,12432
usa,1931,11544
usa,1932,9742
usa,1933,9356
usa,1934,10075
usa,1935,11253
usa,1936,12285
usa,1937,13130
usa,1938,12236
usa,1939,12986
usa,1940,13955
usa,1941,15755
usa,1942,17285
usa,1943,18658
usa,1944,19761
usa,1945,19154
usa,1946,17230
usa,1947,16636
usa,1948,17128
usa,1949,16503
usa,1950,17716
usa,1951,18744
usa,1952,19115
usa,1953,19665
usa,1954,19194
usa,1955,20192
usa,1956,20223
usa,1957,20234
usa,1958,19699
usa,1959,20808
usa,1960,20990
usa,1961,21086
usa,1962,21971
usa,1963,22549
usa,1964,23480
usa,1965,24619
usa,1966,25878
usa,1967,26185
usa,1968,27103
usa,1969,27624
usa,1970,27299
usa,1971,27739
usa,1972,28841
usa,1973,30128
usa,1974,29709
usa,1975,29277
usa,1976,30457
usa,1977,31454
usa,1978,32831
usa,1979,33505
usa,1980,33059
usa,1981,33486
usa,1982,32477
usa,1983,33461
usa,1984,35515
usa,1985,36488
usa,1986,37324
usa,1987,38214
usa,1988,39378
usa,1989,40274
usa,1990,40437
usa,1991,39857
usa,1992,40693
usa,1993,41265
usa,1994,42404
usa,1995,43027
usa,1996,44133
usa,1997,45516
usa,1998,47005
usa,1999,48677
usa,2000,50125
usa,2001,50127
usa,2002,50529
usa,2003,51530
usa,2004,52995
usa,2005,54353
usa,2006,55368
usa,2007,55873
usa,2008,55272
usa,2009,53399
usa,2010,54316
usa,2011,54759
usa,2012,55581
usa,2013,56214
usa,2014,57213
usa,2015,58540
usa,2016,59112
usa,2017,60110
usa,2018,61586
usa,2019,62631
usa,2020,60008
